sc_gid,res_gids,gen_gids,gid_counts,n_gids,mean_cf,mean_lcoe,mean_res,capacity,area_sq_km,latitude,longitude,country,state,county,elevation,timezone,offshore,mean_depth,mean_dist_p_to_a,mean_dist_a_to_s,mean_dist_op_to_s,mean_dist_p_to_s,mean_dist_p_to_s_nolimit,mean_dist_s_to_l,mean_hs_average,mean_fixed_downtime,mean_floating_downtime,mean_capital_cost,mean_fixed_operating_cost,mean_variable_operating_cost,mean_fixed_charge_rate,mean_ws_mean-means,sc_point_gid,sc_row_ind,sc_col_ind,res_class
0,"[2451253, 2451870, 2449356]","[69313, 69625, 68361]","[359.0, 213.0, 5.0]",577,0.472120463848114,330.71624755859375,,14.0211,4.6737,43.047,-68.45,None,None,None,0.0,-5,1,191.83189392089844,40.213199615478516,134.37576293945312,142.06214904785156,1038.5078125,171.831787109375,121.68839263916016,1.440000057220459,0.7099999785423279,0.893000066280365,10538883072.0,77068.703125,0.0,0.07100000232458115,8.95351791381836,22415,58,375,0
1,"[2454278, 2454859, 2455433, 2453090, 2453688, 2454277, 2454858, 2455432, 2452484, 2453089, 2451870, 2453687, 2454276, 2454857, 2455431]","[70843, 71139, 71433, 70240, 70543, 70842, 71138, 71432, 69934, 70239, 69625, 70542, 70841, 71137, 71431]","[531.0, 533.0, 215.0, 530.0, 528.0, 529.0, 529.0, 226.0, 265.0, 225.0, 99.0, 181.0, 133.0, 90.0, 40.0]",4654,0.4725107252597809,330.9847106933594,,113.09219999999999,37.697399999999995,43.019,-68.306,None,None,None,0.0,-5,1,178.2458038330078,40.213199615478516,138.71163940429688,150.11676025390625,1043.5679931640625,179.88641357421875,124.3570556640625,1.4436959028244019,0.7098152041435242,0.8921223878860474,10552474624.0,77565.515625,0.0,0.07099999487400055,8.976698875427246,22416,58,376,0
2,"[2457660, 2458196, 2458723, 2456002, 2456562, 2457115, 2457659, 2458195, 2458722, 2456001, 2455433, 2456561, 2457114, 2457658, 2458194, 2458721, 2455432, 2456000, 2456560, 2457113, 2457657, 2458193, 2458720, 2455999, 2455431, 2456559]","[72604, 72895, 73185, 71727, 72020, 72312, 72603, 72894, 73184, 71726, 71433, 72019, 72311, 72602, 72893, 73183, 71432, 71725, 72018, 72310, 72601, 72892, 73182, 71724, 71431, 72017]","[530.0, 528.0, 112.0, 532.0, 531.0, 528.0, 530.0, 529.0, 123.0, 530.0, 314.0, 528.0, 532.0, 531.0, 528.0, 129.0, 302.0, 506.0, 474.0, 433.0, 387.0, 343.0, 104.0, 19.0, 7.0, 3.0]",9613,0.4714052379131317,312.2550048828125,,233.59589999999997,77.86529999999999,42.991,-68.162,None,None,None,0.0,-5,1,171.2196044921875,40.213199615478516,144.74632263183594,159.74542236328125,1049.5501708984375,189.80178833007812,128.49826049804688,1.5174286365509033,0.7061285376548767,0.8746104836463928,9839654912.0,79509.1875,0.0,0.07099999487400055,8.995952606201172,22417,58,377,0
3,"[2459244, 2459753, 2458723, 2459243, 2459752, 2460251, 2458722, 2459242, 2459751, 2460250, 2458721, 2459241, 2459750, 2460249, 2460737, 2458720, 2459240, 2459749, 2460248, 2460736]","[73476, 73766, 73185, 73475, 73765, 74055, 73184, 73474, 73764, 74054, 73183, 73473, 73763, 74053, 74342, 73182, 73472, 73762, 74052, 74341]","[529.0, 528.0, 417.0, 530.0, 531.0, 533.0, 409.0, 529.0, 528.0, 528.0, 397.0, 528.0, 532.0, 529.0, 529.0, 197.0, 253.0, 208.0, 164.0, 117.0]",8516,0.4723171293735504,312.4984130859375,,206.93879999999996,68.97959999999999,42.963,-68.019,None,None,None,0.0,-5,1,163.64126586914062,40.213199615478516,150.9737548828125,165.56143188476562,1054.059814453125,197.25083923339844,133.2638397216797,1.5200002193450928,0.706000030040741,0.873999834060669,9863945216.0,79841.6171875,0.0,0.07099999487400055,9.010148048400879,22418,58,378,0
4,[2434891],[61578],[3.0],3,0.4671640396118164,365.1304626464844,,0.07289999999999999,0.0243,43.064,-69.07,None,None,None,0.0,-5,1,175.0,40.21320343017578,125.92635345458984,114.90679168701172,1006.1764526367188,130.96902465820312,102.15962982177734,1.340000033378601,0.7149999737739563,0.9169999957084656,11665333248.0,73751.0,0.0,0.07100000232458115,8.84000015258789,22791,59,371,0
5,"[2439386, 2440130, 2437145, 2437894, 2438640, 2439385, 2440129]","[63626, 63967, 62602, 62943, 63284, 63625, 63966]","[532.0, 95.0, 352.0, 309.0, 264.0, 220.0, 51.0]",1823,0.46946242451667786,365.2231140136719,,44.298899999999996,14.7663,43.037,-68.926,None,None,None,0.0,-5,1,140.435546875,40.213199615478516,126.80118560791016,117.02159881591797,1012.291015625,140.0743408203125,109.01683044433594,1.340000033378601,0.7150000929832458,0.916999876499176,11729800192.0,73884.6640625,0.0,0.07099998742341995,8.871299743652344,22792,59,372,0
6,"[2443099, 2443836, 2444568, 2441617, 2442358, 2443098, 2443835, 2444567, 2440130, 2440874, 2441616, 2442357, 2443097, 2443834, 2444566, 2440129, 2440873, 2441615, 2442356, 2443096, 2443833]","[65333, 65675, 66016, 64650, 64991, 65332, 65674, 66015, 63967, 64308, 64649, 64990, 65331, 65673, 66014, 63966, 64307, 64648, 64989, 65330, 65672]","[527.0, 519.0, 5.0, 530.0, 529.0, 530.0, 525.0, 8.0, 434.0, 530.0, 530.0, 525.0, 508.0, 476.0, 15.0, 125.0, 132.0, 89.0, 48.0, 19.0, 3.0]",6607,0.4703689217567444,359.1561279296875,,160.5501,53.5167,43.009,-68.781,None,None,None,0.0,-5,1,186.05917358398438,40.21320343017578,128.81260681152344,120.5155258178711,1018.232421875,149.36766052246094,115.39362335205078,1.3634297847747803,0.7138286232948303,0.9113767743110657,11531880448.0,74506.1640625,0.0,0.07099999487400055,8.897332191467285,22793,59,373,0
7,"[2447390, 2448055, 2445292, 2446007, 2446709, 2447389, 2448054, 2444568, 2445291, 2446006, 2446708, 2447388, 2448053, 2443836, 2444567, 2445290, 2446005, 2446707, 2447387, 2448052, 2443835, 2444566, 2445289, 2446004, 2446706, 2447386, 2448051]","[67383, 67715, 66358, 66700, 67041, 67382, 67714, 66016, 66357, 66699, 67040, 67381, 67713, 65675, 66015, 66356, 66698, 67039, 67380, 67712, 65674, 66014, 66355, 66697, 67038, 67379, 67711]","[530.0, 423.0, 529.0, 527.0, 529.0, 530.0, 431.0, 525.0, 530.0, 530.0, 530.0, 530.0, 442.0, 9.0, 521.0, 528.0, 528.0, 530.0, 530.0, 452.0, 5.0, 422.0, 393.0, 346.0, 304.0, 258.0, 202.0]",11614,0.4696674048900604,329.0026550292969,,282.2202,94.07339999999999,42.982,-68.637,None,None,None,0.0,-5,1,178.6824493408203,40.21320343017578,132.2455596923828,129.93894958496094,1024.4022216796875,159.70860290527344,122.04116821289062,1.440000295639038,0.7099999785423279,0.8929998874664307,10429203456.0,76390.328125,0.0,0.07099999487400055,8.918295860290527,22794,59,374,0
8,"[2449356, 2449996, 2451253, 2451870, 2450628, 2451252, 2451869, 2448709, 2449355, 2448055, 2449995, 2450627, 2451251, 2451868, 2448708, 2449354, 2448054, 2449994, 2450626, 2451250, 2451867, 2448707, 2449353, 2448053, 2449993, 2450625, 2451249, 2451866, 2448706, 2449352, 2448052, 2449992, 2450624, 2451248, 2451865, 2448705, 2449351, 2448051, 2449991, 2450623, 2451247, 2451864]","[68361, 68681, 69313, 69625, 68998, 69312, 69624, 68039, 68360, 67715, 68680, 68997, 69311, 69623, 68038, 68359, 67714, 68679, 68996, 69310, 69622, 68037, 68358, 67713, 68678, 68995, 69309, 69621, 68036, 68357, 67712, 68677, 68994, 69308, 69620, 68035, 68356, 67711, 68676, 68993, 69307, 69619]","[526.0, 528.0, 171.0, 104.0, 529.0, 530.0, 331.0, 527.0, 528.0, 106.0, 530.0, 531.0, 529.0, 339.0, 532.0, 531.0, 98.0, 529.0, 529.0, 529.0, 347.0, 530.0, 528.0, 87.0, 530.0, 529.0, 530.0, 360.0, 529.0, 530.0, 77.0, 530.0, 524.0, 504.0, 346.0, 172.0, 126.0, 13.0, 81.0, 42.0, 15.0, 1.0]",15488,0.47089701890945435,330.93048095703125,,376.35839999999996,125.4528,42.954,-68.493,None,None,None,0.0,-5,1,175.0125274658203,40.21319580078125,136.94345092773438,140.64730834960938,1030.4114990234375,170.4169158935547,125.96627044677734,1.440000295639038,0.7100000381469727,0.8929998874664307,10517296128.0,76990.484375,0.0,0.07099999487400055,8.93730354309082,22795,59,375,0
9,"[2451870, 2452484, 2453089, 2453687, 2454276, 2454857, 2455431, 2452483, 2451869, 2453088, 2453686, 2454275, 2454856, 2455430, 2452482, 2451868, 2453087, 2453685, 2454274, 2454855, 2455429, 2452481, 2453086, 2451867, 2453684, 2454273, 2454854, 2455428, 2452480, 2453085, 2451866, 2453683, 2454272, 2454853, 2455427, 2452479, 2453084, 2451865, 2453682, 2454271, 2454852, 2455426]","[69625, 69934, 70239, 70542, 70841, 71137, 71431, 69933, 69624, 70238, 70541, 70840, 71136, 71430, 69932, 69623, 70237, 70540, 70839, 71135, 71429, 69931, 70236, 69622, 70539, 70838, 71134, 71428, 69930, 70235, 69621, 70538, 70837, 71133, 71427, 69929, 70234, 69620, 70537, 70836, 71132, 71426]","[112.0, 263.0, 306.0, 350.0, 397.0, 438.0, 196.0, 529.0, 199.0, 529.0, 530.0, 530.0, 530.0, 246.0, 530.0, 191.0, 528.0, 529.0, 528.0, 529.0, 255.0, 530.0, 529.0, 182.0, 530.0, 529.0, 530.0, 267.0, 529.0, 530.0, 169.0, 532.0, 530.0, 529.0, 275.0, 426.0, 382.0, 126.0, 336.0, 293.0, 249.0, 136.0]",16384,0.4719485938549042,333.0619201660156,,398.1312,132.7104,42.926,-68.349,None,None,None,0.0,-5,1,171.30517578125,40.213199615478516,143.2953338623047,151.84336853027344,1035.41064453125,181.61300659179688,130.39447021484375,1.440000295639038,0.7099999785423279,0.8929998874664307,10609928192.0,77580.1796875,0.0,0.07099999487400055,8.962501525878906,22796,59,376,0
